1101;"Craneotomia para extraccion cuerpo extrano; incluye esquirlectomia";;;;9;;0
1102;Craneotomia para drenaje hematoma epidural o subdural;;;;20;;0
1103;Craneotom°a para extracci¢n secuestro;;;;8;;0
1104;Craneotom°a para drenaje de hematoma de fosa posterior;;;;20;;0
1106;Craneotom°a para ruptura de senos de duramadre;;;;20;;0
1107;Trepanaci¢n para monitoreo de presi¢n intracraneana;;;;12;;0
1108;Craneotom°a para drenaje hematoma intracerebral;;;;13;;0
1110;Tratamiento de malformaciones arterio venosas supratentoriales;;;21;;;0
1111;Tratamiento de malformaciones arterio venosas infratentoriales;;;23;;;0
1112;Tratamiento de malformaciones arterio venosas de l°nea media e intraventricular;;;22;;;0
1113;Apertura de seno cavernoso por f°stula o aneurisma;;;23;;;0
1114;Revascularizaci¢n supratentorial e infratentorial;;;22;;;0
1116;Endarterectom°a de vaso de cuello;;;21;;;0
1117;Embolizaci¢n para cateterismo de arterias intracraneanas;;;21;;;0
1118;Angioplastia intraluminar;;;21;;;0
1120;Craneotom°a para extirpaci¢n adenomas hipofisiarios;;;22;;;0
1121;Craneotom°a para extirpaci¢n adenomas hipofisiarios (v°a transesfenoidal);;;22;;;0
1122;Craneotom°a para resecci¢n de Cr†neofaringioma;;;23;;;0
1123;"Craneotom°a para drenaje y extracci¢n de tumores intraventriculares (Incluye: quiste
coloide del tercer ventr°culo)";;;22;;;0
1124;Craneotom°a para pinealectom°a;;;23;;;0
1125;Craneotom°a para resecci¢n de tumores de fosa anterior;;;20;;;0
1126;Craneotom°a para resecci¢n de tumores de fosa media;;;20;;;0
1127;Craneotom°a para resecci¢n de tumores de fosa posterior;;;21;;;0
1128;Craneotom°a para tumores del †ngulo ponto cerebeloso;;;22;;;0
1131;Tratamiento por v°a anterior para tumores de clivus;;;23;;;0
1132;Craneotom°a para tumores de hoz de cerebro;;;20;;;0
1133;Craneotom°a para tumores de cuerpo calloso;;;20;;;0
1140;Leucotom°a;;;12;;;0
1141;Lobectom°a;;;20;;;0
1142;Lobotom°a (psicocirug°a estereot†xica);;;12;;;0
1143;Hemisferectom°a;;;22;;;0
1144;Extirpaci¢n de lesi¢n y/o tejido de las meninges cerebrales;;;20;;;0
1145;Reparaci¢n encÇfalocele;;;20;;;0
1146;Reparaci¢n meningocele craneal;;;20;;;0
1147;Tratamiento de platibasia (S°ndrome de Arnold Chiari);;;22;;;0
1148;Correcci¢n de enfermedad de Crouz¢n;;;23;;;0
1149;Injertos intracraneanos (mÇdula suprarrenal);;;22;;;0
