908114;TIROSINA, TEST CON RAIZ DE CABELLO
902211;HEMATOCRITO
901308;Leishmania, IDENTIFICACION POR PCR  &
901314;Mycobacterium, IDENTIFICACION POR PCR+
901316;Mycobacterium leprae, PRUEBA DE VIABILIDAD POR PCR
901401;Clostridium, TOXINA+
901402;INTRADERMOREACCION PARA COMPROBAR INMUNIDAD CONTRA BACTERIAS, HO
901403;PRUEBA DE MACHADO GUERREIRO [Tripanosoma cruzi] * +
901404;PRUEBA DE MANTOUX [TUBERCULINA] +
901405;PRUEBA DE MITSUDA [LEPROMINA] 
901406;PRUEBA DE MONTENEGRO [Leishmania] *+
901407;PRUEBA INTRADERMICA DE ALERGIAS CON ESCARIFICACION O PUNTURA (AE
901408;PRUEBA INTRADERMOREACCIAN DE ESPOROTRIQUINA 
902013;FACTOR INTR™NSECO, CUANTIFICACION
902040;RESISTENCIA A LA PROTEINA C [FACTOR DE LEIDEN] POR PCR
902117;METAHEMOGLOBINA, CUALITATIVA
903029;MICROALBUMINURIA POR TURBIDIMETRIA +
903115;ACIDO VANILMANDELICO [VMA] EN ORINA DE 24 H+
903413;APOLIPOPROTEINAS A1 POR TURBIDIMETRIA
903414;APOLIPOPROTEINAS B POR TURBIDIMETRIA
904003;RENINA
905207;CARBAMAZEPINA, SEMICUANTITATIVA POR INMUNOENSAYO O CROMATOGRAFIA
905211;FENITOINA LIBRE Y TOTAL, CUANTITATIVO POR CROMATOGRAFIA LIQUIDA
905212;FENITOINA LIBRE Y TOTAL, CUANTITATIVO POR NEFELOMETRIA +
905215;FENOBARBITAL, CUANTITATIVO POR NEFELOMETRIA
905216;FENOBARBITAL, SEMICUANTITATIVO POR INMUNOENSAYO O CROMATOGRAFIA
905402;AMIKACINA, CUANTITATIVA POR NEFELOMETRIA
905403;AMIKACINA, SEMICUANTITATIVA POR INMUNOENSAYO
905405;GENTAMICINA, SEMICUANTITATIVA POR INMUNOENSAYO
905408;PROCAINAMIDA POR INMUNOENSAYO
905411;VANCOMICINA, SEMICUANTITATIVA POR CROMATOGRAF™A DE CAPA FINA
905605;DIGOXINA, SEMICUANTITATIVA POR INMUNOENSAYO O CROMA-TOGRAF™A DE
906101;Actynomices, ANTICUERPOS +
906311;Coxsackie A, ANT™GENO POR PCR 
906313;Coxsackie B, ANT™GENO POR PCR 
906402;ACETILCOLINA RECEPTORES, ANTICUERPOS BLOQUEADORES
906403;ADN CADENA SENCILLA, ANTICUERPOS+
906439;MUSCULO LISO, ANTICUERPOS [ASMA] POR RIA +
906461;TIROIDEOS MICROSOMALES, ANTICUERPOS POR RIA
906505;HISTOCOMPATIBILIDAD, ANTIGENO DR, DQ [CLASE II] POR PCR-SSP
906804;CITOMEGALOVIRUS, CARGA VIRAL +
903006;CAROTENOS
906815;Hepatitis B, CARGA VIRAL +
906816;Hepatitis B, VIRUS DNA CUANTIFICACIAN 
906817;Hepatitis C, CARGA VIRAL +
906819;Hepatitis C, RNA DETECTOR 
906820;Herpes simplex I y II, DNA DETECTOR 
906821;Herpes simplex, CARGA VIRAL 
906909;CRIOGLOBULINAS +
908001;ACIDOS ORGANICOS [CADENA CORTA] POR CROMATOGRAFIA DE GASES
908002;ACIDO OROTICO
908101;AMINOACIDOS, CUALITATIVOS POR CROMATOGRAFIA EN ORINA
908102;AMINOACIDOS, CUALITATIVOS POR CROMATOGRAF™A EN SANGRE
908103;AMINOACIDOS POR CLORURO FERRICO
908104;AMINOACIDOS POR DINITROFENILHIDRACINA
908105;AMINOACIDOS POR NITROPRUSIATO
908106;AMINOACIDOS POR NITROSONAFTOL
908107;CISTINA, CUANTITATIVA EN ORINA O SANGRE
908108;CURVA DE TOLERANCIA A LA FENILALANINA
908109;FENILALANINA, CUANTITATIVA EN ORINA O SANGRE
908110;GLISINA, DETERMINACION EN ORINA O SANGRE
908111;LISINA, DETERMINACION EN ORINA O SANGRE
908112;PTERINAS, DETERMINACION EN ORINA O SANGRE
908113;TIROSINA, CUANTITATIVA EN ORINA O SANGRE
908201;AZUCARES POR CROMATOGRAFIA
908202;CARBOHIDRATOS [MONO Y DISACARIDOS] CUALITATIVO, EN ORINA
908203;CARBOHIDRATOS POR BENEDICT, SELLIWANOFF O GLUCOSA OXIDASA EN ORI
908204;FOSFORILASA
908205;GALACTOSA URIDIL TRANSFERASA
908206;GLUCOSA 6 FOSFATASA
908207;GLUCOSA 6 FOSFATASA TRANSPORTADOR
906840;VIH, CARGA VIRAL CUALQUIER TECNICA +
908208;GLUCOGENO, CURVA DE ESTIMULACION CON GLUCAGON [DETERMINACION DE
908307;PRUEBA DE SUCROSA
908401;ALFA 1 ANTITRIPSINA POR FENOTIPO
