1101;"Craneotomia para extraccion cuerpo extrano; incluye esquirlectomia";;;;9;;0
1102;Craneotomia para drenaje hematoma epidural o subdural;;;;20;;0
1103;Craneotomía para extracción secuestro;;;;8;;0
1104;Craneotomía para drenaje de hematoma de fosa posterior;;;;20;;0
1106;Craneotomía para ruptura de senos de duramadre;;;;20;;0
1107;Trepanación para monitoreo de presión intracraneana;;;;12;;0
1108;Craneotomía para drenaje hematoma intracerebral;;;;13;;0
1110;Tratamiento de malformaciones arterio venosas supratentoriales;;;21;;;0
1111;Tratamiento de malformaciones arterio venosas infratentoriales;;;23;;;0
1112;Tratamiento de malformaciones arterio venosas de línea media e intraventricular;;;22;;;0
1113;Apertura de seno cavernoso por fístula o aneurisma;;;23;;;0
1114;Revascularización supratentorial e infratentorial;;;22;;;0
1116;Endarterectomía de vaso de cuello;;;21;;;0
1117;Embolización para cateterismo de arterias intracraneanas;;;21;;;0
1118;Angioplastia intraluminar;;;21;;;0
1120;Craneotomía para extirpación adenomas hipofisiarios;;;22;;;0
1121;Craneotomía para extirpación adenomas hipofisiarios (vía transesfenoidal);;;22;;;0
1122;Craneotomía para resección de Cráneofaringioma;;;23;;;0
1123;"Craneotomía para drenaje y extracción de tumores intraventriculares (Incluye: quiste
coloide del tercer ventrículo)";;;22;;;0
1124;Craneotomía para pinealectomía;;;23;;;0
1125;Craneotomía para resección de tumores de fosa anterior;;;20;;;0
1126;Craneotomía para resección de tumores de fosa media;;;20;;;0
1127;Craneotomía para resección de tumores de fosa posterior;;;21;;;0
1128;Craneotomía para tumores del ángulo ponto cerebeloso;;;22;;;0
1131;Tratamiento por vía anterior para tumores de clivus;;;23;;;0
1132;Craneotomía para tumores de hoz de cerebro;;;20;;;0
1133;Craneotomía para tumores de cuerpo calloso;;;20;;;0
1140;Leucotomía;;;12;;;0
1141;Lobectomía;;;20;;;0
1142;Lobotomía (psicocirugía estereotáxica);;;12;;;0
1143;Hemisferectomía;;;22;;;0
1144;Extirpación de lesión y/o tejido de las meninges cerebrales;;;20;;;0
1145;Reparación encéfalocele;;;20;;;0
1146;Reparación meningocele craneal;;;20;;;0
1147;Tratamiento de platibasia (Síndrome de Arnold Chiari);;;22;;;0
1148;Corrección de enfermedad de Crouzón;;;23;;;0
1149;Injertos intracraneanos (médula suprarrenal);;;22;;;0
1150;Punción estereotáxica de quistes, abcesos y hematomas intracraneanos;;;20;;;0
1151;Implantación estereotáxica de electrodos y material radio activo;;;22;;;0
1152;Biopsia esterotáxica de lesiones cerebrales;;;20;;;0
